[2026-06-27T10:05:10.287Z] ========================================
[2026-06-27T10:05:10.291Z]   智能上传脚本 v2（单张·随机间隔）
[2026-06-27T10:05:10.292Z] ========================================
[2026-06-27T10:05:10.299Z] 总图片: 3891 | 已上传: 1002 | 待上传: 2889
[2026-06-27T10:14:44.403Z] [55/2889] 1.9% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_48.jpg | S:55 F:0 | 569s
[2026-06-27T10:14:57.965Z] [56/2889] 1.9% ✓ 不负春日好时光研学实践筑成长小学部研学实践活动_58.jpg | S:56 F:0 | 582s
[2026-06-27T10:15:08.381Z] [57/2889] 1.9% ✓ 专家引领共研未来第64次教师专业培训活动_33.jpg | S:57 F:0 | 593s
[2026-06-27T10:15:21.520Z] [58/2889] 2.0% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_10.jpg | S:58 F:0 | 605s
[2026-06-27T10:15:34.514Z] [59/2889] 2.0% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_12.jpg | S:59 F:0 | 619s
[2026-06-27T10:15:45.084Z] [60/2889] 2.0% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_13.jpg | S:60 F:0 | 630s
[2026-06-27T10:15:56.321Z] [61/2889] 2.1% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_15.jpg | S:61 F:0 | 641s
[2026-06-27T10:16:08.976Z] [62/2889] 2.1% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_17.jpg | S:62 F:0 | 654s
[2026-06-27T10:16:18.966Z] [63/2889] 2.1% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_20.jpg | S:63 F:0 | 663s
[2026-06-27T10:16:28.309Z] [64/2889] 2.2% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_21.jpg | S:64 F:0 | 673s
[2026-06-27T10:16:39.126Z] [65/2889] 2.2% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_22.jpg | S:65 F:0 | 683s
[2026-06-27T10:16:47.511Z] [66/2889] 2.2% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_26.jpg | S:66 F:0 | 693s
[2026-06-27T10:16:54.466Z] [67/2889] 2.3% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_27.jpg | S:67 F:0 | 701s
[2026-06-27T10:17:04.285Z] [68/2889] 2.3% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_29.jpg | S:68 F:0 | 709s
[2026-06-27T10:17:15.392Z] [69/2889] 2.4% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_30.jpg | S:69 F:0 | 719s
[2026-06-27T10:17:22.760Z] [70/2889] 2.4% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_31.jpg | S:70 F:0 | 729s
[2026-06-27T10:17:33.234Z] [71/2889] 2.4% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_32.jpg | S:71 F:0 | 737s
[2026-06-27T10:17:40.264Z] [72/2889] 2.5% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_33.jpg | S:72 F:0 | 747s
[2026-06-27T10:17:52.167Z] [73/2889] 2.5% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_34.jpg | S:73 F:0 | 756s
[2026-06-27T10:18:03.241Z] [74/2889] 2.5% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_5.jpg | S:74 F:0 | 767s
[2026-06-27T10:18:12.021Z] [75/2889] 2.6% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_7.jpg | S:75 F:0 | 777s
[2026-06-27T10:18:23.381Z] [76/2889] 2.6% ✓ 且听且吟假如国宝会说话20242025学年第一学期第三期_8.jpg | S:76 F:0 | 788s
[2026-06-27T10:18:34.883Z] [77/2889] 2.6% ✓ 且听且吟历史上的今天纪念129抗日救国运动20242025学年第一学期第七期_11.jpg | S:77 F:0 | 799s
[2026-06-27T10:18:43.928Z] [78/2889] 2.7% ✓ 且听且吟历史上的今天纪念129抗日救国运动20242025学年第一学期第七期_15.jpg | S:78 F:0 | 809s
[2026-06-27T10:18:57.297Z] [79/2889] 2.7% ✓ 且听且吟历史上的今天纪念129抗日救国运动20242025学年第一学期第七期_16.jpg | S:79 F:0 | 822s
[2026-06-27T10:19:07.830Z] [80/2889] 2.7% ✓ 且听且吟历史上的今天纪念129抗日救国运动20242025学年第一学期第七期_18.jpg | S:80 F:0 | 832s
[2026-06-27T10:19:20.622Z] [81/2889] 2.8% ✓ 且听且吟历史上的今天纪念129抗日救国运动20242025学年第一学期第七期_20.jpg | S:81 F:0 | 845s
[2026-06-27T10:19:27.398Z] [82/2889] 2.8% ✓ 且听且吟历次优秀考场作文欣赏20242025学年第一学期第六期_12.jpg | S:82 F:0 | 853s
[2026-06-27T10:19:33.567Z] [83/2889] 2.8% ✓ 且听且吟岁月留声见证辉煌20242025学年第一学期第二期_0.jpg | S:83 F:0 | 860s
[2026-06-27T10:19:45.447Z] [84/2889] 2.9% ✓ 五彩华年印记校园建校五周年绘画书法作品展圆满开幕_90.jpg | S:84 F:0 | 870s
[2026-06-27T10:19:51.966Z] [85/2889] 2.9% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_0.jpg | S:85 F:0 | 879s
[2026-06-27T10:20:01.609Z] [86/2889] 2.9% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_19.jpg | S:86 F:0 | 886s
[2026-06-27T10:20:13.414Z] [87/2889] 3.0% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_27.jpg | S:87 F:0 | 895s
[2026-06-27T10:20:23.347Z] [88/2889] 3.0% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_28.jpg | S:88 F:0 | 908s
[2026-06-27T10:20:37.526Z] [89/2889] 3.0% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_58.jpg | S:89 F:0 | 921s
[2026-06-27T10:20:49.803Z] [90/2889] 3.1% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_59.jpg | S:90 F:0 | 934s
[2026-06-27T10:20:56.349Z] [91/2889] 3.1% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_60.jpg | S:91 F:0 | 943s
[2026-06-27T10:21:10.391Z] [92/2889] 3.1% ✓ 五载校庆启新程课桌童趣绽芳华第五届一年级课中操展演圆满落幕_62.jpg | S:92 F:0 | 954s
[2026-06-27T10:21:24.933Z] [93/2889] 3.2% ✓ 五载童心歌盛世童声筑梦向未来第四届合唱展演圆满落幕_100.jpg | S:93 F:0 | 968s
[2026-06-27T10:21:37.528Z] [94/2889] 3.2% ✓ 五载童心歌盛世童声筑梦向未来第四届合唱展演圆满落幕_101.jpg | S:94 F:0 | 982s
[2026-06-27T10:21:49.198Z] [95/2889] 3.3% ✓ 五载童心歌盛世童声筑梦向未来第四届合唱展演圆满落幕_102.jpg | S:95 F:0 | 993s
[2026-06-27T10:22:02.960Z] [96/2889] 3.3% ✓ 五载童心歌盛世童声筑梦向未来第四届合唱展演圆满落幕_104.jpg | S:96 F:0 | 1006s
[2026-06-27T10:22:13.896Z] [97/2889] 3.3% ✓ 从班级讲台到市级舞台我校常态化美育助力学子星河绽放_21.jpg | S:97 F:0 | 1018s
[2026-06-27T10:22:25.961Z] [98/2889] 3.4% ✓ 从班级讲台到市级舞台我校常态化美育助力学子星河绽放_23.jpg | S:98 F:0 | 1030s
[2026-06-27T10:22:32.375Z] [99/2889] 3.4% ✓ 从班级讲台到市级舞台我校常态化美育助力学子星河绽放_24.jpg | S:99 F:0 | 1039s
[2026-06-27T10:22:38.552Z] [100/2889] 3.4% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_13.jpg | S:100 F:0 | 1045s
[2026-06-27T10:22:48.558Z] [101/2889] 3.5% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_15.jpg | S:101 F:0 | 1053s
[2026-06-27T10:22:55.004Z] [102/2889] 3.5% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_16.jpg | S:102 F:0 | 1062s
[2026-06-27T10:23:08.894Z] [103/2889] 3.5% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_27.jpg | S:103 F:0 | 1072s
[2026-06-27T10:23:20.009Z] [104/2889] 3.6% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_28.jpg | S:104 F:0 | 1085s
[2026-06-27T10:23:32.420Z] [105/2889] 3.6% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_29.jpg | S:105 F:0 | 1096s
[2026-06-27T10:23:39.603Z] [106/2889] 3.6% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_31.jpg | S:106 F:0 | 1106s
[2026-06-27T10:23:53.412Z] [107/2889] 3.7% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_36.jpg | S:107 F:0 | 1117s
[2026-06-27T10:24:00.527Z] [108/2889] 3.7% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_39.jpg | S:108 F:0 | 1127s
[2026-06-27T10:24:10.785Z] [109/2889] 3.7% ✓ 以戏剧点亮人生舞台以艺术涵养时代新人北京市第二中学经开区学校戏剧人生由我主演首届校园戏剧节华彩落幕_42.jpg | S:109 F:0 | 1135s
